"cell_id","N","architecture_mode","schema","revision","stage","causal_contract_config","causal_contract_state","causal_identity_sha256","config_sha256","geometry_source","cone_positions_sha256","cell_type","polarity","BC_radius_deg","AC_radius_deg","graph_nodes","graph_edges","checkpoint_path","checkpoint_sha256","checkpoint_sha256_after","identity_verdict"
"68#7","1","mechanism_identifiable","schottdorf_canonical_v1_shared_bc_development","4","trained","h1-shared-bc-direct-broad-ac","h1-shared-bc-direct-broad-ac","3643d2317f6ef05afacf9b635acb027b9467f1d770935e2d514be7fd8a4d2a07","a42fbfedb85eb91f5f9192412eed0bf52cede7e6df666987c913654b9b61440c","checkpoint coordinates; adapter _cone_positions; default construction; checkpoint-loaded path_spatial_basis","79ba63eb0976818070976a20cb8865245ec4252c6fc69d89c624c5c3f1093a96","midget","ON","0.06","0.13","1","1","D:\PythonProject\retina_rf_SNN\output\real_data\schottdorf_canonical_v1_shared_bc_development_22cell_20260830\cells\68_7\model-trained.pt","479abfdf9dc3766b317f96581db9628fa17cf81913eee9020db78cb69f7944d3","479abfdf9dc3766b317f96581db9628fa17cf81913eee9020db78cb69f7944d3","PASS"
"68#10","1","mechanism_identifiable","schottdorf_canonical_v1_shared_bc_development","4","trained","h1-shared-bc-direct-broad-ac","h1-shared-bc-direct-broad-ac","3643d2317f6ef05afacf9b635acb027b9467f1d770935e2d514be7fd8a4d2a07","a42fbfedb85eb91f5f9192412eed0bf52cede7e6df666987c913654b9b61440c","checkpoint coordinates; adapter _cone_positions; default construction; checkpoint-loaded path_spatial_basis","79ba63eb0976818070976a20cb8865245ec4252c6fc69d89c624c5c3f1093a96","parasol","ON","0.1","0.15","1","1","D:\PythonProject\retina_rf_SNN\output\real_data\schottdorf_canonical_v1_shared_bc_development_22cell_20260830\cells\68_10\model-trained.pt","c394ffbd7c303df2025e5dc4176007f088ab1e9b488ac5b2564aa56c57352bfd","c394ffbd7c303df2025e5dc4176007f088ab1e9b488ac5b2564aa56c57352bfd","PASS"
"68#11","1","mechanism_identifiable","schottdorf_canonical_v1_shared_bc_development","4","trained","h1-shared-bc-direct-broad-ac","h1-shared-bc-direct-broad-ac","3643d2317f6ef05afacf9b635acb027b9467f1d770935e2d514be7fd8a4d2a07","a42fbfedb85eb91f5f9192412eed0bf52cede7e6df666987c913654b9b61440c","checkpoint coordinates; adapter _cone_positions; default construction; checkpoint-loaded path_spatial_basis","79ba63eb0976818070976a20cb8865245ec4252c6fc69d89c624c5c3f1093a96","midget","OFF","0.06","0.13","1","1","D:\PythonProject\retina_rf_SNN\output\real_data\schottdorf_canonical_v1_shared_bc_development_22cell_20260830\cells\68_11\model-trained.pt","ae5ea08ce4140e1561d9930e4d1c2bcff28d2d5c8618e04eadedef69e3ecf23f","ae5ea08ce4140e1561d9930e4d1c2bcff28d2d5c8618e04eadedef69e3ecf23f","PASS"
"69#3","1","mechanism_identifiable","schottdorf_canonical_v1_shared_bc_development","4","trained","h1-shared-bc-direct-broad-ac","h1-shared-bc-direct-broad-ac","3643d2317f6ef05afacf9b635acb027b9467f1d770935e2d514be7fd8a4d2a07","a42fbfedb85eb91f5f9192412eed0bf52cede7e6df666987c913654b9b61440c","checkpoint coordinates; adapter _cone_positions; default construction; checkpoint-loaded path_spatial_basis","79ba63eb0976818070976a20cb8865245ec4252c6fc69d89c624c5c3f1093a96","midget","OFF","0.06","0.13","1","1","D:\PythonProject\retina_rf_SNN\output\real_data\schottdorf_canonical_v1_shared_bc_development_22cell_20260830\cells\69_3\model-trained.pt","50b334692cbfb5ba8e8feaedac885c75a30860f5406b0414d831916754afae65","50b334692cbfb5ba8e8feaedac885c75a30860f5406b0414d831916754afae65","PASS"
"69#4","1","mechanism_identifiable","schottdorf_canonical_v1_shared_bc_development","4","trained","h1-shared-bc-direct-broad-ac","h1-shared-bc-direct-broad-ac","3643d2317f6ef05afacf9b635acb027b9467f1d770935e2d514be7fd8a4d2a07","a42fbfedb85eb91f5f9192412eed0bf52cede7e6df666987c913654b9b61440c","checkpoint coordinates; adapter _cone_positions; default construction; checkpoint-loaded path_spatial_basis","79ba63eb0976818070976a20cb8865245ec4252c6fc69d89c624c5c3f1093a96","parasol","ON","0.1","0.15","1","1","D:\PythonProject\retina_rf_SNN\output\real_data\schottdorf_canonical_v1_shared_bc_development_22cell_20260830\cells\69_4\model-trained.pt","b40878f31dca0434259a6bc6affe5c3793daf3adf7d541ce205c226a2e91473b","b40878f31dca0434259a6bc6affe5c3793daf3adf7d541ce205c226a2e91473b","PASS"
"69#6","1","mechanism_identifiable","schottdorf_canonical_v1_shared_bc_development","4","trained","h1-shared-bc-direct-broad-ac","h1-shared-bc-direct-broad-ac","3643d2317f6ef05afacf9b635acb027b9467f1d770935e2d514be7fd8a4d2a07","a42fbfedb85eb91f5f9192412eed0bf52cede7e6df666987c913654b9b61440c","checkpoint coordinates; adapter _cone_positions; default construction; checkpoint-loaded path_spatial_basis","79ba63eb0976818070976a20cb8865245ec4252c6fc69d89c624c5c3f1093a96","parasol","OFF","0.1","0.15","1","1","D:\PythonProject\retina_rf_SNN\output\real_data\schottdorf_canonical_v1_shared_bc_development_22cell_20260830\cells\69_6\model-trained.pt","336e3d8e2de8282f9134fe057e1c91c021b6bf4f47c0eb25840f492f322fc21d","336e3d8e2de8282f9134fe057e1c91c021b6bf4f47c0eb25840f492f322fc21d","PASS"
"69#7","1","mechanism_identifiable","schottdorf_canonical_v1_shared_bc_development","4","trained","h1-shared-bc-direct-broad-ac","h1-shared-bc-direct-broad-ac","3643d2317f6ef05afacf9b635acb027b9467f1d770935e2d514be7fd8a4d2a07","a42fbfedb85eb91f5f9192412eed0bf52cede7e6df666987c913654b9b61440c","checkpoint coordinates; adapter _cone_positions; default construction; checkpoint-loaded path_spatial_basis","79ba63eb0976818070976a20cb8865245ec4252c6fc69d89c624c5c3f1093a96","parasol","ON","0.1","0.15","1","1","D:\PythonProject\retina_rf_SNN\output\real_data\schottdorf_canonical_v1_shared_bc_development_22cell_20260830\cells\69_7\model-trained.pt","e2c234c61343d1050b20793f5c09a5927e9ec62061a30949d339271843ced80e","e2c234c61343d1050b20793f5c09a5927e9ec62061a30949d339271843ced80e","PASS"
"69#21","1","mechanism_identifiable","schottdorf_canonical_v1_shared_bc_development","4","trained","h1-shared-bc-direct-broad-ac","h1-shared-bc-direct-broad-ac","3643d2317f6ef05afacf9b635acb027b9467f1d770935e2d514be7fd8a4d2a07","a42fbfedb85eb91f5f9192412eed0bf52cede7e6df666987c913654b9b61440c","checkpoint coordinates; adapter _cone_positions; default construction; checkpoint-loaded path_spatial_basis","79ba63eb0976818070976a20cb8865245ec4252c6fc69d89c624c5c3f1093a96","midget","OFF","0.06","0.13","1","1","D:\PythonProject\retina_rf_SNN\output\real_data\schottdorf_canonical_v1_shared_bc_development_22cell_20260830\cells\69_21\model-trained.pt","3a8e2d91dc71b321de8ca03aa8da0ae1cbabdb7a1eed9778ba982022dba2f42d","3a8e2d91dc71b321de8ca03aa8da0ae1cbabdb7a1eed9778ba982022dba2f42d","PASS"
"70#1","1","mechanism_identifiable","schottdorf_canonical_v1_shared_bc_development","4","trained","h1-shared-bc-direct-broad-ac","h1-shared-bc-direct-broad-ac","3643d2317f6ef05afacf9b635acb027b9467f1d770935e2d514be7fd8a4d2a07","a42fbfedb85eb91f5f9192412eed0bf52cede7e6df666987c913654b9b61440c","checkpoint coordinates; adapter _cone_positions; default construction; checkpoint-loaded path_spatial_basis","79ba63eb0976818070976a20cb8865245ec4252c6fc69d89c624c5c3f1093a96","midget","ON","0.06","0.13","1","1","D:\PythonProject\retina_rf_SNN\output\real_data\schottdorf_canonical_v1_shared_bc_development_22cell_20260830\cells\70_1\model-trained.pt","e4d15d07d2accb218dce44b5a0f5ab4f3dab7124dceb0082dcec886ce0236309","e4d15d07d2accb218dce44b5a0f5ab4f3dab7124dceb0082dcec886ce0236309","PASS"
"70#7","1","mechanism_identifiable","schottdorf_canonical_v1_shared_bc_development","4","trained","h1-shared-bc-direct-broad-ac","h1-shared-bc-direct-broad-ac","3643d2317f6ef05afacf9b635acb027b9467f1d770935e2d514be7fd8a4d2a07","a42fbfedb85eb91f5f9192412eed0bf52cede7e6df666987c913654b9b61440c","checkpoint coordinates; adapter _cone_positions; default construction; checkpoint-loaded path_spatial_basis","79ba63eb0976818070976a20cb8865245ec4252c6fc69d89c624c5c3f1093a96","midget","ON","0.06","0.13","1","1","D:\PythonProject\retina_rf_SNN\output\real_data\schottdorf_canonical_v1_shared_bc_development_22cell_20260830\cells\70_7\model-trained.pt","f58a9ed77ca1132cfab909b661449ece0fd185c57c2146ddecdf23d2dc1c49ce","f58a9ed77ca1132cfab909b661449ece0fd185c57c2146ddecdf23d2dc1c49ce","PASS"
"70#15","1","mechanism_identifiable","schottdorf_canonical_v1_shared_bc_development","4","trained","h1-shared-bc-direct-broad-ac","h1-shared-bc-direct-broad-ac","3643d2317f6ef05afacf9b635acb027b9467f1d770935e2d514be7fd8a4d2a07","a42fbfedb85eb91f5f9192412eed0bf52cede7e6df666987c913654b9b61440c","checkpoint coordinates; adapter _cone_positions; default construction; checkpoint-loaded path_spatial_basis","79ba63eb0976818070976a20cb8865245ec4252c6fc69d89c624c5c3f1093a96","midget","ON","0.06","0.13","1","1","D:\PythonProject\retina_rf_SNN\output\real_data\schottdorf_canonical_v1_shared_bc_development_22cell_20260830\cells\70_15\model-trained.pt","2f6178198ae6591cefaca37dedaaa707a60116f73ad966a72899dce0eb4d338a","2f6178198ae6591cefaca37dedaaa707a60116f73ad966a72899dce0eb4d338a","PASS"
"70#34","1","mechanism_identifiable","schottdorf_canonical_v1_shared_bc_development","4","trained","h1-shared-bc-direct-broad-ac","h1-shared-bc-direct-broad-ac","3643d2317f6ef05afacf9b635acb027b9467f1d770935e2d514be7fd8a4d2a07","a42fbfedb85eb91f5f9192412eed0bf52cede7e6df666987c913654b9b61440c","checkpoint coordinates; adapter _cone_positions; default construction; checkpoint-loaded path_spatial_basis","79ba63eb0976818070976a20cb8865245ec4252c6fc69d89c624c5c3f1093a96","parasol","ON","0.1","0.15","1","1","D:\PythonProject\retina_rf_SNN\output\real_data\schottdorf_canonical_v1_shared_bc_development_22cell_20260830\cells\70_34\model-trained.pt","ae01dfe02d83ca87cd19c6e3da9d3e76a2d3389b4773178b9d488b44b599ecfa","ae01dfe02d83ca87cd19c6e3da9d3e76a2d3389b4773178b9d488b44b599ecfa","PASS"
