artifact_path,lineage,recording_or_cell,accessed_live_range,stimulus_accessed,spikes_or_targets_accessed,model_predictions_computed,NLL_or_metric_computed,used_for_training,used_for_model_selection,used_for_architecture_decision,only_hash_or_metadata_access,classification,evidence
output/real_data/schottdorf_center_surround_ln_22cell_seed61001_20260830/cells/68_7/results.json,output\real_data\schottdorf_center_surround_ln_22cell_seed61001_20260830\cells\68_7,see artifact,"[0,20.0) s; train=16; validation=4",True,True,True,True,see run stage,see run stage,UNKNOWN,False,CONSUMED_FOR_DEVELOPMENT,Structured saved run/result configuration $.adapter_config; conservative development consumption for the full recorded prefix.
output/real_data/schottdorf_center_surround_ln_22cell_seed61001_20260830/cells/69_21/results.json,output\real_data\schottdorf_center_surround_ln_22cell_seed61001_20260830\cells\69_21,see artifact,"[0,20.0) s; train=16; validation=4",True,True,True,True,see run stage,see run stage,UNKNOWN,False,CONSUMED_FOR_DEVELOPMENT,Structured saved run/result configuration $.adapter_config; conservative development consumption for the full recorded prefix.
output/real_data/schottdorf_center_surround_ln_22cell_seed61001_20260830/cells/69_3/results.json,output\real_data\schottdorf_center_surround_ln_22cell_seed61001_20260830\cells\69_3,see artifact,"[0,20.0) s; train=16; validation=4",True,True,True,True,see run stage,see run stage,UNKNOWN,False,CONSUMED_FOR_DEVELOPMENT,Structured saved run/result configuration $.adapter_config; conservative development consumption for the full recorded prefix.
output/real_data/schottdorf_center_surround_ln_22cell_seed61001_20260830/cells/69_4/results.json,output\real_data\schottdorf_center_surround_ln_22cell_seed61001_20260830\cells\69_4,see artifact,"[0,20.0) s; train=16; validation=4",True,True,True,True,see run stage,see run stage,UNKNOWN,False,CONSUMED_FOR_DEVELOPMENT,Structured saved run/result configuration $.adapter_config; conservative development consumption for the full recorded prefix.
output/real_data/schottdorf_center_surround_ln_22cell_seed61001_20260830/cells/69_6/results.json,output\real_data\schottdorf_center_surround_ln_22cell_seed61001_20260830\cells\69_6,see artifact,"[0,20.0) s; train=16; validation=4",True,True,True,True,see run stage,see run stage,UNKNOWN,False,CONSUMED_FOR_DEVELOPMENT,Structured saved run/result configuration $.adapter_config; conservative development consumption for the full recorded prefix.
output/real_data/schottdorf_center_surround_ln_22cell_seed61001_20260830/cells/69_7/results.json,output\real_data\schottdorf_center_surround_ln_22cell_seed61001_20260830\cells\69_7,see artifact,"[0,20.0) s; train=16; validation=4",True,True,True,True,see run stage,see run stage,UNKNOWN,False,CONSUMED_FOR_DEVELOPMENT,Structured saved run/result configuration $.adapter_config; conservative development consumption for the full recorded prefix.
output/real_data/schottdorf_center_surround_ln_22cell_seed61001_20260830/cells/70_1/results.json,output\real_data\schottdorf_center_surround_ln_22cell_seed61001_20260830\cells\70_1,see artifact,"[0,20.0) s; train=16; validation=4",True,True,True,True,see run stage,see run stage,UNKNOWN,False,CONSUMED_FOR_DEVELOPMENT,Structured saved run/result configuration $.adapter_config; conservative development consumption for the full recorded prefix.
output/real_data/schottdorf_center_surround_ln_22cell_seed61001_20260830/cells/70_15/results.json,output\real_data\schottdorf_center_surround_ln_22cell_seed61001_20260830\cells\70_15,see artifact,"[0,20.0) s; train=16; validation=4",True,True,True,True,see run stage,see run stage,UNKNOWN,False,CONSUMED_FOR_DEVELOPMENT,Structured saved run/result configuration $.adapter_config; conservative development consumption for the full recorded prefix.
output/real_data/schottdorf_center_surround_ln_22cell_seed61001_20260830/cells/70_34/results.json,output\real_data\schottdorf_center_surround_ln_22cell_seed61001_20260830\cells\70_34,see artifact,"[0,20.0) s; train=16; validation=4",True,True,True,True,see run stage,see run stage,UNKNOWN,False,CONSUMED_FOR_DEVELOPMENT,Structured saved run/result configuration $.adapter_config; conservative development consumption for the full recorded prefix.
output/real_data/schottdorf_center_surround_ln_22cell_seed61001_20260830/cells/70_7/results.json,output\real_data\schottdorf_center_surround_ln_22cell_seed61001_20260830\cells\70_7,see artifact,"[0,20.0) s; train=16; validation=4",True,True,True,True,see run stage,see run stage,UNKNOWN,False,CONSUMED_FOR_DEVELOPMENT,Structured saved run/result configuration $.adapter_config; conservative development consumption for the full recorded prefix.
output/real_data/schottdorf_center_surround_ln_67_4_smoke_seed61001/results.json,output\real_data\schottdorf_center_surround_ln_67_4_smoke_seed61001,see artifact,"[0,20.0) s; train=16; validation=4",True,True,True,True,see run stage,see run stage,UNKNOWN,False,CONSUMED_FOR_DEVELOPMENT,Structured saved run/result configuration $.adapter_config; conservative development consumption for the full recorded prefix.
output/real_data/schottdorf_lee_2021_22cell_canonical_v1_revision4_fresh_20260829/results.json,output\real_data\schottdorf_lee_2021_22cell_canonical_v1_revision4_fresh_20260829,see artifact,"[0,20.0) s; train=16; validation=4",True,True,True,True,see run stage,see run stage,UNKNOWN,False,CONSUMED_FOR_DEVELOPMENT,Structured saved run/result configuration $.adapter_config; conservative development consumption for the full recorded prefix.
output/real_data/schottdorf_lee_2021_22cell_canonical_v1_revision4_fresh_20260829/evaluation/results.json,output\real_data\schottdorf_lee_2021_22cell_canonical_v1_revision4_fresh_20260829\evaluation,see artifact,"[0,20.0) s; train=16; validation=4",True,True,True,True,see run stage,see run stage,UNKNOWN,False,CONSUMED_FOR_DEVELOPMENT,Structured saved run/result configuration $.adapter_config; conservative development consumption for the full recorded prefix.
output/real_data/schottdorf_lee_2021_cellwise_multirecording_v1_local_seed20260828_revision2/results.json,output\real_data\schottdorf_lee_2021_cellwise_multirecording_v1_local_seed20260828_revision2,see artifact,"[0,20.0) s; train=16; validation=4",True,True,True,True,see run stage,see run stage,UNKNOWN,False,CONSUMED_FOR_DEVELOPMENT,Structured saved run/result configuration $.adapter_config; conservative development consumption for the full recorded prefix.
output/real_data/schottdorf_r4_development_22cell_20260830_verified/cells/67_14/results.json,output\real_data\schottdorf_r4_development_22cell_20260830_verified\cells\67_14,see artifact,"[0,20.0) s; train=16; validation=4",True,True,True,True,see run stage,see run stage,UNKNOWN,False,CONSUMED_FOR_DEVELOPMENT,Structured saved run/result configuration $.adapter_config; conservative development consumption for the full recorded prefix.
output/real_data/schottdorf_r4_development_22cell_20260830_verified/cells/67_21/results.json,output\real_data\schottdorf_r4_development_22cell_20260830_verified\cells\67_21,see artifact,"[0,20.0) s; train=16; validation=4",True,True,True,True,see run stage,see run stage,UNKNOWN,False,CONSUMED_FOR_DEVELOPMENT,Structured saved run/result configuration $.adapter_config; conservative development consumption for the full recorded prefix.
output/real_data/schottdorf_r4_development_22cell_20260830_verified/cells/67_26/results.json,output\real_data\schottdorf_r4_development_22cell_20260830_verified\cells\67_26,see artifact,"[0,20.0) s; train=16; validation=4",True,True,True,True,see run stage,see run stage,UNKNOWN,False,CONSUMED_FOR_DEVELOPMENT,Structured saved run/result configuration $.adapter_config; conservative development consumption for the full recorded prefix.
output/real_data/schottdorf_r4_development_22cell_20260830_verified/cells/67_33/results.json,output\real_data\schottdorf_r4_development_22cell_20260830_verified\cells\67_33,see artifact,"[0,20.0) s; train=16; validation=4",True,True,True,True,see run stage,see run stage,UNKNOWN,False,CONSUMED_FOR_DEVELOPMENT,Structured saved run/result configuration $.adapter_config; conservative development consumption for the full recorded prefix.
output/real_data/schottdorf_r4_development_22cell_20260830_verified/cells/67_34/results.json,output\real_data\schottdorf_r4_development_22cell_20260830_verified\cells\67_34,see artifact,"[0,20.0) s; train=16; validation=4",True,True,True,True,see run stage,see run stage,UNKNOWN,False,CONSUMED_FOR_DEVELOPMENT,Structured saved run/result configuration $.adapter_config; conservative development consumption for the full recorded prefix.
output/real_data/schottdorf_r4_development_22cell_20260830_verified/cells/67_4/results.json,output\real_data\schottdorf_r4_development_22cell_20260830_verified\cells\67_4,see artifact,"[0,20.0) s; train=16; validation=4",True,True,True,True,see run stage,see run stage,UNKNOWN,False,CONSUMED_FOR_DEVELOPMENT,Structured saved run/result configuration $.adapter_config; conservative development consumption for the full recorded prefix.
output/real_data/schottdorf_r4_development_22cell_20260830_verified/cells/67_6/results.json,output\real_data\schottdorf_r4_development_22cell_20260830_verified\cells\67_6,see artifact,"[0,20.0) s; train=16; validation=4",True,True,True,True,see run stage,see run stage,UNKNOWN,False,CONSUMED_FOR_DEVELOPMENT,Structured saved run/result configuration $.adapter_config; conservative development consumption for the full recorded prefix.
output/real_data/schottdorf_r4_development_22cell_20260830_verified/cells/67_7/results.json,output\real_data\schottdorf_r4_development_22cell_20260830_verified\cells\67_7,see artifact,"[0,20.0) s; train=16; validation=4",True,True,True,True,see run stage,see run stage,UNKNOWN,False,CONSUMED_FOR_DEVELOPMENT,Structured saved run/result configuration $.adapter_config; conservative development consumption for the full recorded prefix.
output/real_data/schottdorf_r4_development_22cell_20260830_verified/cells/68_10/results.json,output\real_data\schottdorf_r4_development_22cell_20260830_verified\cells\68_10,see artifact,"[0,20.0) s; train=16; validation=4",True,True,True,True,see run stage,see run stage,UNKNOWN,False,CONSUMED_FOR_DEVELOPMENT,Structured saved run/result configuration $.adapter_config; conservative development consumption for the full recorded prefix.
output/real_data/schottdorf_r4_development_22cell_20260830_verified/cells/68_11/results.json,output\real_data\schottdorf_r4_development_22cell_20260830_verified\cells\68_11,see artifact,"[0,20.0) s; train=16; validation=4",True,True,True,True,see run stage,see run stage,UNKNOWN,False,CONSUMED_FOR_DEVELOPMENT,Structured saved run/result configuration $.adapter_config; conservative development consumption for the full recorded prefix.
output/real_data/schottdorf_r4_development_22cell_20260830_verified/cells/68_3/results.json,output\real_data\schottdorf_r4_development_22cell_20260830_verified\cells\68_3,see artifact,"[0,20.0) s; train=16; validation=4",True,True,True,True,see run stage,see run stage,UNKNOWN,False,CONSUMED_FOR_DEVELOPMENT,Structured saved run/result configuration $.adapter_config; conservative development consumption for the full recorded prefix.
output/real_data/schottdorf_r4_development_22cell_20260830_verified/cells/68_4/results.json,output\real_data\schottdorf_r4_development_22cell_20260830_verified\cells\68_4,see artifact,"[0,20.0) s; train=16; validation=4",True,True,True,True,see run stage,see run stage,UNKNOWN,False,CONSUMED_FOR_DEVELOPMENT,Structured saved run/result configuration $.adapter_config; conservative development consumption for the full recorded prefix.
output/real_data/schottdorf_r4_development_22cell_20260830_verified/cells/68_7/results.json,output\real_data\schottdorf_r4_development_22cell_20260830_verified\cells\68_7,see artifact,"[0,20.0) s; train=16; validation=4",True,True,True,True,see run stage,see run stage,UNKNOWN,False,CONSUMED_FOR_DEVELOPMENT,Structured saved run/result configuration $.adapter_config; conservative development consumption for the full recorded prefix.
output/real_data/schottdorf_r4_development_22cell_20260830_verified/cells/69_21/results.json,output\real_data\schottdorf_r4_development_22cell_20260830_verified\cells\69_21,see artifact,"[0,20.0) s; train=16; validation=4",True,True,True,True,see run stage,see run stage,UNKNOWN,False,CONSUMED_FOR_DEVELOPMENT,Structured saved run/result configuration $.adapter_config; conservative development consumption for the full recorded prefix.
output/real_data/schottdorf_r4_development_22cell_20260830_verified/cells/69_3/results.json,output\real_data\schottdorf_r4_development_22cell_20260830_verified\cells\69_3,see artifact,"[0,20.0) s; train=16; validation=4",True,True,True,True,see run stage,see run stage,UNKNOWN,False,CONSUMED_FOR_DEVELOPMENT,Structured saved run/result configuration $.adapter_config; conservative development consumption for the full recorded prefix.
output/real_data/schottdorf_r4_development_22cell_20260830_verified/cells/69_4/results.json,output\real_data\schottdorf_r4_development_22cell_20260830_verified\cells\69_4,see artifact,"[0,20.0) s; train=16; validation=4",True,True,True,True,see run stage,see run stage,UNKNOWN,False,CONSUMED_FOR_DEVELOPMENT,Structured saved run/result configuration $.adapter_config; conservative development consumption for the full recorded prefix.
output/real_data/schottdorf_r4_development_22cell_20260830_verified/cells/69_6/results.json,output\real_data\schottdorf_r4_development_22cell_20260830_verified\cells\69_6,see artifact,"[0,20.0) s; train=16; validation=4",True,True,True,True,see run stage,see run stage,UNKNOWN,False,CONSUMED_FOR_DEVELOPMENT,Structured saved run/result configuration $.adapter_config; conservative development consumption for the full recorded prefix.
output/real_data/schottdorf_r4_development_22cell_20260830_verified/cells/69_7/results.json,output\real_data\schottdorf_r4_development_22cell_20260830_verified\cells\69_7,see artifact,"[0,20.0) s; train=16; validation=4",True,True,True,True,see run stage,see run stage,UNKNOWN,False,CONSUMED_FOR_DEVELOPMENT,Structured saved run/result configuration $.adapter_config; conservative development consumption for the full recorded prefix.
output/real_data/schottdorf_r4_development_22cell_20260830_verified/cells/70_1/results.json,output\real_data\schottdorf_r4_development_22cell_20260830_verified\cells\70_1,see artifact,"[0,20.0) s; train=16; validation=4",True,True,True,True,see run stage,see run stage,UNKNOWN,False,CONSUMED_FOR_DEVELOPMENT,Structured saved run/result configuration $.adapter_config; conservative development consumption for the full recorded prefix.
output/real_data/schottdorf_r4_development_22cell_20260830_verified/cells/70_15/results.json,output\real_data\schottdorf_r4_development_22cell_20260830_verified\cells\70_15,see artifact,"[0,20.0) s; train=16; validation=4",True,True,True,True,see run stage,see run stage,UNKNOWN,False,CONSUMED_FOR_DEVELOPMENT,Structured saved run/result configuration $.adapter_config; conservative development consumption for the full recorded prefix.
output/real_data/schottdorf_r4_development_22cell_20260830_verified/cells/70_34/results.json,output\real_data\schottdorf_r4_development_22cell_20260830_verified\cells\70_34,see artifact,"[0,20.0) s; train=16; validation=4",True,True,True,True,see run stage,see run stage,UNKNOWN,False,CONSUMED_FOR_DEVELOPMENT,Structured saved run/result configuration $.adapter_config; conservative development consumption for the full recorded prefix.
output/real_data/schottdorf_r4_development_22cell_20260830_verified/cells/70_7/results.json,output\real_data\schottdorf_r4_development_22cell_20260830_verified\cells\70_7,see artifact,"[0,20.0) s; train=16; validation=4",True,True,True,True,see run stage,see run stage,UNKNOWN,False,CONSUMED_FOR_DEVELOPMENT,Structured saved run/result configuration $.adapter_config; conservative development consumption for the full recorded prefix.
.local_archives/20260905-pre-audit-cleanup/recoverable-content.zip!output/real_data/schottdorf_factorized_ln_67_4_smoke_seed61001/results.json,.local_archives\20260905-pre-audit-cleanup\recoverable-content.zip!output\real_data\schottdorf_factorized_ln_67_4_smoke_seed61001,see artifact,"[0,20.0) s; train=16; validation=4",True,True,True,True,see run stage,see run stage,UNKNOWN,False,CONSUMED_FOR_DEVELOPMENT,Structured saved run/result configuration $.adapter_config; conservative development consumption for the full recorded prefix.
.local_archives/20260905-pre-audit-cleanup/recoverable-content.zip!output/real_data/schottdorf_lee_2021_22cell_canonical_v1_fresh_20260829/evaluation-v1/results.json,.local_archives\20260905-pre-audit-cleanup\recoverable-content.zip!output\real_data\schottdorf_lee_2021_22cell_canonical_v1_fresh_20260829\evaluation-v1,see artifact,"[0,20.0) s; train=16; validation=4",True,True,True,True,see run stage,see run stage,UNKNOWN,False,CONSUMED_FOR_DEVELOPMENT,Structured saved run/result configuration $.adapter_config; conservative development consumption for the full recorded prefix.
.local_archives/20260905-pre-audit-cleanup/recoverable-content.zip!output/real_data/schottdorf_lee_2021_22cell_canonical_v1_fresh_20260829/evaluation-v2/results.json,.local_archives\20260905-pre-audit-cleanup\recoverable-content.zip!output\real_data\schottdorf_lee_2021_22cell_canonical_v1_fresh_20260829\evaluation-v2,see artifact,"[0,20.0) s; train=16; validation=4",True,True,True,True,see run stage,see run stage,UNKNOWN,False,CONSUMED_FOR_DEVELOPMENT,Structured saved run/result configuration $.adapter_config; conservative development consumption for the full recorded prefix.
.local_archives/20260905-pre-audit-cleanup/recoverable-content.zip!output/real_data/schottdorf_lee_2021_22cell_canonical_v1_fresh_20260829/results.json,.local_archives\20260905-pre-audit-cleanup\recoverable-content.zip!output\real_data\schottdorf_lee_2021_22cell_canonical_v1_fresh_20260829,see artifact,"[0,20.0) s; train=16; validation=4",True,True,True,True,see run stage,see run stage,UNKNOWN,False,CONSUMED_FOR_DEVELOPMENT,Structured saved run/result configuration $.adapter_config; conservative development consumption for the full recorded prefix.
.local_archives/20260905-pre-audit-cleanup/recoverable-content.zip!output/real_data/schottdorf_lee_2021_minimal_v1/results.json,.local_archives\20260905-pre-audit-cleanup\recoverable-content.zip!output\real_data\schottdorf_lee_2021_minimal_v1,see artifact,"[0,20.0) s; train=; validation=",True,True,True,True,see run stage,see run stage,UNKNOWN,False,CONSUMED_FOR_DEVELOPMENT,Structured saved run/result configuration $.stimulus.used_live_frames; conservative development consumption for the full recorded prefix.
.omo/evidence/review-pytest-tmp/test_multirecording_runner_use0/macaque-multi/results.json,mocked loader test,see artifact,"[0,0.8) s; train=1; validation=1",mocked,mocked,True,True,see run stage,see run stage,UNKNOWN,False,CLEAN_FOR_CONFIRMATORY_EVALUATION,Structured executed artifact field $.adapter_config; actual adapter coverage. Mocked fixtures do not use the real later movie.
.omo/evidence/compact_causal_cnn_baseline/cells/67_14/validation-predictions.pt,.omo\evidence\compact_causal_cnn_baseline\cells\67_14,exact per-sequence IDs in binary_source_ids_default/escalated.csv,"live frames [2400,3000)",True,True,True,True,see producer,see producer,UNKNOWN,False,CONSUMED_FOR_DEVELOPMENT,Existing binary payload source IDs; SHA256=1c8e8c6d82bf8fe835f381fa4bcaced10785a1961b8166689f7f1fdf718962f7; field paths=logits_raw;logits_trained;target;valid_mask;source_image_ids;trial_indices
