cell_id,group,model,prediction_contract,correlation,rmse,status,exclusion_reason
70#1,PC_ON,LN,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
70#1,PC_ON,CNN,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
70#7,PC_ON,aligned,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
70#7,PC_ON,LN,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
70#7,PC_ON,CNN,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
70#15,PC_ON,aligned,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
70#15,PC_ON,LN,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
70#15,PC_ON,CNN,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
70#34,MC_ON,aligned,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
70#34,MC_ON,LN,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
70#34,MC_ON,CNN,,,,NOT_RUN_OFFICIAL_PROTOCOL_UNVERIFIED,Missing official raw-response filtering/pair aggregation definition
