source_artifact,tracked,official_url,bytes,sha256,payload_path,payload_sha256,kind,access_status,searched_fields,matching_line_count,note
data\real\schottdorf_lee_2021_repository\data\Cell List.docx,True,https://gin.g-node.org/Manuel/Macaque-ganglion-cells/src/cffefb08c760f04c9a951da46061b361d2288e9b/data/Cell List.docx,94011,515dd0c69fe51818fea77040bd1cdb798725d2883157255ad331fcb44c2f9c5f,data\real\schottdorf_lee_2021_repository\data\Cell List.docx,515dd0c69fe51818fea77040bd1cdb798725d2883157255ad331fcb44c2f9c5f,.docx,READ,RF center | RF centre | receptive field position | x/y position | screen position | spot position | stimulus displacement | centering error | cell position | tangent screen | DoG | Gaussian | fit center | response map | reverse corr | RevCorr | MxX | MxY | xoff | yoff | x0 | y0 | position | center | centre | peak | smoothing | regulariz | deconvol | fft | least | eccentricity,0,Complete document text; cell/recording catalog and acquisition notes.
data\real\schottdorf_lee_2021_repository\data\lSS01141.txt,True,https://gin.g-node.org/Manuel/Macaque-ganglion-cells/src/cffefb08c760f04c9a951da46061b361d2288e9b/data/lSS01141.txt,153686,a72d545a2c71eac7f14d4fad5408629076566d1e3b94f43a1fc63763d473b914,data\real\schottdorf_lee_2021_repository\data\lSS01141.txt,a72d545a2c71eac7f14d4fad5408629076566d1e3b94f43a1fc63763d473b914,.txt,READ,RF center | RF centre | receptive field position | x/y position | screen position | spot position | stimulus displacement | centering error | cell position | tangent screen | DoG | Gaussian | fit center | response map | reverse corr | RevCorr | MxX | MxY | xoff | yoff | x0 | y0 | position | center | centre | peak | smoothing | regulariz | deconvol | fft | least | eccentricity,0,Complete text scanned.
data\real\schottdorf_lee_2021_repository\data\lSS01142.txt,True,https://gin.g-node.org/Manuel/Macaque-ganglion-cells/src/cffefb08c760f04c9a951da46061b361d2288e9b/data/lSS01142.txt,357547,4aebc3b4e76eff4b58f85b2227c33a2e0b7a2cc7435e739509bed197ebbfdc74,data\real\schottdorf_lee_2021_repository\data\lSS01142.txt,4aebc3b4e76eff4b58f85b2227c33a2e0b7a2cc7435e739509bed197ebbfdc74,.txt,READ,RF center | RF centre | receptive field position | x/y position | screen position | spot position | stimulus displacement | centering error | cell position | tangent screen | DoG | Gaussian | fit center | response map | reverse corr | RevCorr | MxX | MxY | xoff | yoff | x0 | y0 | position | center | centre | peak | smoothing | regulariz | deconvol | fft | least | eccentricity,0,Complete text scanned.
data\real\schottdorf_lee_2021_repository\data\lSS01159.txt,True,https://gin.g-node.org/Manuel/Macaque-ganglion-cells/src/cffefb08c760f04c9a951da46061b361d2288e9b/data/lSS01159.txt,225144,28b5a076d39ad1bba8a71f3d9d6f5732882229eb4b21fdf5e02f7f1a54e5aae6,data\real\schottdorf_lee_2021_repository\data\lSS01159.txt,28b5a076d39ad1bba8a71f3d9d6f5732882229eb4b21fdf5e02f7f1a54e5aae6,.txt,READ,RF center | RF centre | receptive field position | x/y position | screen position | spot position | stimulus displacement | centering error | cell position | tangent screen | DoG | Gaussian | fit center | response map | reverse corr | RevCorr | MxX | MxY | xoff | yoff | x0 | y0 | position | center | centre | peak | smoothing | regulariz | deconvol | fft | least | eccentricity,0,Complete text scanned.
data\real\schottdorf_lee_2021_repository\data\lSS01160.txt,True,https://gin.g-node.org/Manuel/Macaque-ganglion-cells/src/cffefb08c760f04c9a951da46061b361d2288e9b/data/lSS01160.txt,583584,74e5456b5d65c45d4c5c99f1d962c390b6f63c4a11ea83391cb744ee2f4350a5,data\real\schottdorf_lee_2021_repository\data\lSS01160.txt,74e5456b5d65c45d4c5c99f1d962c390b6f63c4a11ea83391cb744ee2f4350a5,.txt,READ,RF center | RF centre | receptive field position | x/y position | screen position | spot position | stimulus displacement | centering error | cell position | tangent screen | DoG | Gaussian | fit center | response map | reverse corr | RevCorr | MxX | MxY | xoff | yoff | x0 | y0 | position | center | centre | peak | smoothing | regulariz | deconvol | fft | least | eccentricity,0,Complete text scanned.
data\real\schottdorf_lee_2021_repository\data\lSS01167.txt,True,https://gin.g-node.org/Manuel/Macaque-ganglion-cells/src/cffefb08c760f04c9a951da46061b361d2288e9b/data/lSS01167.txt,98120,f530368663d7869b757211daf26ac0b239bcc51fb85c0d69c775471d94cdb6bf,data\real\schottdorf_lee_2021_repository\data\lSS01167.txt,f530368663d7869b757211daf26ac0b239bcc51fb85c0d69c775471d94cdb6bf,.txt,READ,RF center | RF centre | receptive field position | x/y position | screen position | spot position | stimulus displacement | centering error | cell position | tangent screen | DoG | Gaussian | fit center | response map | reverse corr | RevCorr | MxX | MxY | xoff | yoff | x0 | y0 | position | center | centre | peak | smoothing | regulariz | deconvol | fft | least | eccentricity,0,Complete text scanned.
data\real\schottdorf_lee_2021_repository\data\lSS01168.txt,True,https://gin.g-node.org/Manuel/Macaque-ganglion-cells/src/cffefb08c760f04c9a951da46061b361d2288e9b/data/lSS01168.txt,274829,3124a9a8003a1eac28495a817d385e7aca74a8d0daed8a29a9b14bdd85e50add,data\real\schottdorf_lee_2021_repository\data\lSS01168.txt,3124a9a8003a1eac28495a817d385e7aca74a8d0daed8a29a9b14bdd85e50add,.txt,READ,RF center | RF centre | receptive field position | x/y position | screen position | spot position | stimulus displacement | centering error | cell position | tangent screen | DoG | Gaussian | fit center | response map | reverse corr | RevCorr | MxX | MxY | xoff | yoff | x0 | y0 | position | center | centre | peak | smoothing | regulariz | deconvol | fft | least | eccentricity,0,Complete text scanned.
data\real\schottdorf_lee_2021_repository\data\lSS01178.txt,True,https://gin.g-node.org/Manuel/Macaque-ganglion-cells/src/cffefb08c760f04c9a951da46061b361d2288e9b/data/lSS01178.txt,41944,ae4a0e93f3945a82e72f90567a3f678b9a8f522a04ecf743109bbec415f063dd,data\real\schottdorf_lee_2021_repository\data\lSS01178.txt,ae4a0e93f3945a82e72f90567a3f678b9a8f522a04ecf743109bbec415f063dd,.txt,READ,RF center | RF centre | receptive field position | x/y position | screen position | spot position | stimulus displacement | centering error | cell position | tangent screen | DoG | Gaussian | fit center | response map | reverse corr | RevCorr | MxX | MxY | xoff | yoff | x0 | y0 | position | center | centre | peak | smoothing | regulariz | deconvol | fft | least | eccentricity,0,Complete text scanned.
data\real\schottdorf_lee_2021_repository\data\lSS01180.txt,True,https://gin.g-node.org/Manuel/Macaque-ganglion-cells/src/cffefb08c760f04c9a951da46061b361d2288e9b/data/lSS01180.txt,111012,27cc90cdd6506563440478fe6972725a87a6a7a013863abdac7399d1de5f84f0,data\real\schottdorf_lee_2021_repository\data\lSS01180.txt,27cc90cdd6506563440478fe6972725a87a6a7a013863abdac7399d1de5f84f0,.txt,READ,RF center | RF centre | receptive field position | x/y position | screen position | spot position | stimulus displacement | centering error | cell position | tangent screen | DoG | Gaussian | fit center | response map | reverse corr | RevCorr | MxX | MxY | xoff | yoff | x0 | y0 | position | center | centre | peak | smoothing | regulariz | deconvol | fft | least | eccentricity,0,Complete text scanned.
data\real\schottdorf_lee_2021_repository\data\lSS01181.txt,True,https://gin.g-node.org/Manuel/Macaque-ganglion-cells/src/cffefb08c760f04c9a951da46061b361d2288e9b/data/lSS01181.txt,190602,5f63376c7b52f9e4aea3a60488ef81caeb6d0b8fc4361b0c7cf8969bdb6e3404,data\real\schottdorf_lee_2021_repository\data\lSS01181.txt,5f63376c7b52f9e4aea3a60488ef81caeb6d0b8fc4361b0c7cf8969bdb6e3404,.txt,READ,RF center | RF centre | receptive field position | x/y position | screen position | spot position | stimulus displacement | centering error | cell position | tangent screen | DoG | Gaussian | fit center | response map | reverse corr | RevCorr | MxX | MxY | xoff | yoff | x0 | y0 | position | center | centre | peak | smoothing | regulariz | deconvol | fft | least | eccentricity,0,Complete text scanned.
data\real\schottdorf_lee_2021_repository\data\lSS01183.txt,True,https://gin.g-node.org/Manuel/Macaque-ganglion-cells/src/cffefb08c760f04c9a951da46061b361d2288e9b/data/lSS01183.txt,479677,834cd5c12c8f734ffe6c073579a52f46f608dec04be96b93ef2cb378cc3222ab,data\real\schottdorf_lee_2021_repository\data\lSS01183.txt,834cd5c12c8f734ffe6c073579a52f46f608dec04be96b93ef2cb378cc3222ab,.txt,READ,RF center | RF centre | receptive field position | x/y position | screen position | spot position | stimulus displacement | centering error | cell position | tangent screen | DoG | Gaussian | fit center | response map | reverse corr | RevCorr | MxX | MxY | xoff | yoff | x0 | y0 | position | center | centre | peak | smoothing | regulariz | deconvol | fft | least | eccentricity,0,Complete text scanned.
data\real\schottdorf_lee_2021_repository\data\lSS01184.txt,True,https://gin.g-node.org/Manuel/Macaque-ganglion-cells/src/cffefb08c760f04c9a951da46061b361d2288e9b/data/lSS01184.txt,100514,e6f873105275ba94c9bdb48447651e93d9ec77eb5f107bf3ef9a176946bc3710,data\real\schottdorf_lee_2021_repository\data\lSS01184.txt,e6f873105275ba94c9bdb48447651e93d9ec77eb5f107bf3ef9a176946bc3710,.txt,READ,RF center | RF centre | receptive field position | x/y position | screen position | spot position | stimulus displacement | centering error | cell position | tangent screen | DoG | Gaussian | fit center | response map | reverse corr | RevCorr | MxX | MxY | xoff | yoff | x0 | y0 | position | center | centre | peak | smoothing | regulariz | deconvol | fft | least | eccentricity,0,Complete text scanned.
data\real\schottdorf_lee_2021_repository\data\lSS01194.txt,True,https://gin.g-node.org/Manuel/Macaque-ganglion-cells/src/cffefb08c760f04c9a951da46061b361d2288e9b/data/lSS01194.txt,112035,f7ff1b87e8bc0220d1c875e8b738957733fff6d41c524c5517d075b4be054e3f,data\real\schottdorf_lee_2021_repository\data\lSS01194.txt,f7ff1b87e8bc0220d1c875e8b738957733fff6d41c524c5517d075b4be054e3f,.txt,READ,RF center | RF centre | receptive field position | x/y position | screen position | spot position | stimulus displacement | centering error | cell position | tangent screen | DoG | Gaussian | fit center | response map | reverse corr | RevCorr | MxX | MxY | xoff | yoff | x0 | y0 | position | center | centre | peak | smoothing | regulariz | deconvol | fft | least | eccentricity,0,Complete text scanned.
data\real\schottdorf_lee_2021_repository\data\lSS01196.txt,True,https://gin.g-node.org/Manuel/Macaque-ganglion-cells/src/cffefb08c760f04c9a951da46061b361d2288e9b/data/lSS01196.txt,354110,2a314def8f0b1b3db16ec4928f4317ccc1f9bbbfdf59241dc545110215da83b1,data\real\schottdorf_lee_2021_repository\data\lSS01196.txt,2a314def8f0b1b3db16ec4928f4317ccc1f9bbbfdf59241dc545110215da83b1,.txt,READ,RF center | RF centre | receptive field position | x/y position | screen position | spot position | stimulus displacement | centering error | cell position | tangent screen | DoG | Gaussian | fit center | response map | reverse corr | RevCorr | MxX | MxY | xoff | yoff | x0 | y0 | position | center | centre | peak | smoothing | regulariz | deconvol | fft | least | eccentricity,0,Complete text scanned.
data\real\schottdorf_lee_2021_repository\data\lSS01221.txt,True,https://gin.g-node.org/Manuel/Macaque-ganglion-cells/src/cffefb08c760f04c9a951da46061b361d2288e9b/data/lSS01221.txt,311825,7a892d39d3decf76d50705175ca5ed31ae8141b4a859deedfec1e115d8f35e53,data\real\schottdorf_lee_2021_repository\data\lSS01221.txt,7a892d39d3decf76d50705175ca5ed31ae8141b4a859deedfec1e115d8f35e53,.txt,READ,RF center | RF centre | receptive field position | x/y position | screen position | spot position | stimulus displacement | centering error | cell position | tangent screen | DoG | Gaussian | fit center | response map | reverse corr | RevCorr | MxX | MxY | xoff | yoff | x0 | y0 | position | center | centre | peak | smoothing | regulariz | deconvol | fft | least | eccentricity,0,Complete text scanned.
data\real\schottdorf_lee_2021_repository\data\lSS01225.txt,True,https://gin.g-node.org/Manuel/Macaque-ganglion-cells/src/cffefb08c760f04c9a951da46061b361d2288e9b/data/lSS01225.txt,87090,77b8590967d4c87443f9a2051cc615e96c3d789aa88d6159e4ea0dc1d1ed6a4c,data\real\schottdorf_lee_2021_repository\data\lSS01225.txt,77b8590967d4c87443f9a2051cc615e96c3d789aa88d6159e4ea0dc1d1ed6a4c,.txt,READ,RF center | RF centre | receptive field position | x/y position | screen position | spot position | stimulus displacement | centering error | cell position | tangent screen | DoG | Gaussian | fit center | response map | reverse corr | RevCorr | MxX | MxY | xoff | yoff | x0 | y0 | position | center | centre | peak | smoothing | regulariz | deconvol | fft | least | eccentricity,0,Complete text scanned.
data\real\schottdorf_lee_2021_repository\data\lSS01227.txt,True,https://gin.g-node.org/Manuel/Macaque-ganglion-cells/src/cffefb08c760f04c9a951da46061b361d2288e9b/data/lSS01227.txt,269888,f968087b85a4584a9c75e8d8a24c8da5e8a724b856aa1cc14f06131998026b99,data\real\schottdorf_lee_2021_repository\data\lSS01227.txt,f968087b85a4584a9c75e8d8a24c8da5e8a724b856aa1cc14f06131998026b99,.txt,READ,RF center | RF centre | receptive field position | x/y position | screen position | spot position | stimulus displacement | centering error | cell position | tangent screen | DoG | Gaussian | fit center | response map | reverse corr | RevCorr | MxX | MxY | xoff | yoff | x0 | y0 | position | center | centre | peak | smoothing | regulariz | deconvol | fft | least | eccentricity,0,Complete text scanned.
data\real\schottdorf_lee_2021_repository\data\lSS01229.txt,True,https://gin.g-node.org/Manuel/Macaque-ganglion-cells/src/cffefb08c760f04c9a951da46061b361d2288e9b/data/lSS01229.txt,76463,48be9e7907e940edceae3dc8794bba16c1e8b2f4dbe4c4e752cf412d1bd0778b,data\real\schottdorf_lee_2021_repository\data\lSS01229.txt,48be9e7907e940edceae3dc8794bba16c1e8b2f4dbe4c4e752cf412d1bd0778b,.txt,READ,RF center | RF centre | receptive field position | x/y position | screen position | spot position | stimulus displacement | centering error | cell position | tangent screen | DoG | Gaussian | fit center | response map | reverse corr | RevCorr | MxX | MxY | xoff | yoff | x0 | y0 | position | center | centre | peak | smoothing | regulariz | deconvol | fft | least | eccentricity,0,Complete text scanned.
data\real\schottdorf_lee_2021_repository\data\lSS01231.txt,True,https://gin.g-node.org/Manuel/Macaque-ganglion-cells/src/cffefb08c760f04c9a951da46061b361d2288e9b/data/lSS01231.txt,192064,5be23305cb2316e753ce377bcb2abf7dd2925bf8cdca25f5843bd1db6f5b836d,data\real\schottdorf_lee_2021_repository\data\lSS01231.txt,5be23305cb2316e753ce377bcb2abf7dd2925bf8cdca25f5843bd1db6f5b836d,.txt,READ,RF center | RF centre | receptive field position | x/y position | screen position | spot position | stimulus displacement | centering error | cell position | tangent screen | DoG | Gaussian | fit center | response map | reverse corr | RevCorr | MxX | MxY | xoff | yoff | x0 | y0 | position | center | centre | peak | smoothing | regulariz | deconvol | fft | least | eccentricity,0,Complete text scanned.
data\real\schottdorf_lee_2021_repository\data\lSS01251.txt,True,https://gin.g-node.org/Manuel/Macaque-ganglion-cells/src/cffefb08c760f04c9a951da46061b361d2288e9b/data/lSS01251.txt,186069,7accbb5ca931a6dab0a0abc31d3fa26c2e7c64f0a282bc6199d93196cdd9464b,data\real\schottdorf_lee_2021_repository\data\lSS01251.txt,7accbb5ca931a6dab0a0abc31d3fa26c2e7c64f0a282bc6199d93196cdd9464b,.txt,READ,RF center | RF centre | receptive field position | x/y position | screen position | spot position | stimulus displacement | centering error | cell position | tangent screen | DoG | Gaussian | fit center | response map | reverse corr | RevCorr | MxX | MxY | xoff | yoff | x0 | y0 | position | center | centre | peak | smoothing | regulariz | deconvol | fft | least | eccentricity,0,Complete text scanned.
data\real\schottdorf_lee_2021_repository\data\lSS01252.txt,True,https://gin.g-node.org/Manuel/Macaque-ganglion-cells/src/cffefb08c760f04c9a951da46061b361d2288e9b/data/lSS01252.txt,464938,15124cd47349640fe0a9b0436cce5a4ca57d9dbfc552d8d334c723aac0d4fc71,data\real\schottdorf_lee_2021_repository\data\lSS01252.txt,15124cd47349640fe0a9b0436cce5a4ca57d9dbfc552d8d334c723aac0d4fc71,.txt,READ,RF center | RF centre | receptive field position | x/y position | screen position | spot position | stimulus displacement | centering error | cell position | tangent screen | DoG | Gaussian | fit center | response map | reverse corr | RevCorr | MxX | MxY | xoff | yoff | x0 | y0 | position | center | centre | peak | smoothing | regulariz | deconvol | fft | least | eccentricity,0,Complete text scanned.
data\real\schottdorf_lee_2021_repository\data\lSS01254.txt,True,https://gin.g-node.org/Manuel/Macaque-ganglion-cells/src/cffefb08c760f04c9a951da46061b361d2288e9b/data/lSS01254.txt,159028,4069314bcafe9a28f8e329bb4d72f77773ebc0d5523c4e1a355cc09ea89bdf12,data\real\schottdorf_lee_2021_repository\data\lSS01254.txt,4069314bcafe9a28f8e329bb4d72f77773ebc0d5523c4e1a355cc09ea89bdf12,.txt,READ,RF center | RF centre | receptive field position | x/y position | screen position | spot position | stimulus displacement | centering error | cell position | tangent screen | DoG | Gaussian | fit center | response map | reverse corr | RevCorr | MxX | MxY | xoff | yoff | x0 | y0 | position | center | centre | peak | smoothing | regulariz | deconvol | fft | least | eccentricity,0,Complete text scanned.
data\real\schottdorf_lee_2021_repository\data\lSS01256.txt,True,https://gin.g-node.org/Manuel/Macaque-ganglion-cells/src/cffefb08c760f04c9a951da46061b361d2288e9b/data/lSS01256.txt,136398,74790a90e633d2f76ab35e58937d3ea60c56587bff1050061d3cc150c99dbf68,data\real\schottdorf_lee_2021_repository\data\lSS01256.txt,74790a90e633d2f76ab35e58937d3ea60c56587bff1050061d3cc150c99dbf68,.txt,READ,RF center | RF centre | receptive field position | x/y position | screen position | spot position | stimulus displacement | centering error | cell position | tangent screen | DoG | Gaussian | fit center | response map | reverse corr | RevCorr | MxX | MxY | xoff | yoff | x0 | y0 | position | center | centre | peak | smoothing | regulariz | deconvol | fft | least | eccentricity,0,Complete text scanned.
data\real\schottdorf_lee_2021_repository\data\lSS01257.txt,True,https://gin.g-node.org/Manuel/Macaque-ganglion-cells/src/cffefb08c760f04c9a951da46061b361d2288e9b/data/lSS01257.txt,366798,56f59ff3df7839be095d5d6329a27e771b5fe8f0ee5d3b4169f43bb3ad2cf2e0,data\real\schottdorf_lee_2021_repository\data\lSS01257.txt,56f59ff3df7839be095d5d6329a27e771b5fe8f0ee5d3b4169f43bb3ad2cf2e0,.txt,READ,RF center | RF centre | receptive field position | x/y position | screen position | spot position | stimulus displacement | centering error | cell position | tangent screen | DoG | Gaussian | fit center | response map | reverse corr | RevCorr | MxX | MxY | xoff | yoff | x0 | y0 | position | center | centre | peak | smoothing | regulariz | deconvol | fft | least | eccentricity,0,Complete text scanned.
data\real\schottdorf_lee_2021_repository\data\lSS01258.txt,True,https://gin.g-node.org/Manuel/Macaque-ganglion-cells/src/cffefb08c760f04c9a951da46061b361d2288e9b/data/lSS01258.txt,164915,926b3ef523f3dd10bab6e003bd47645f5b4065c960eb1353d3d5b1fed3c6fb16,data\real\schottdorf_lee_2021_repository\data\lSS01258.txt,926b3ef523f3dd10bab6e003bd47645f5b4065c960eb1353d3d5b1fed3c6fb16,.txt,READ,RF center | RF centre | receptive field position | x/y position | screen position | spot position | stimulus displacement | centering error | cell position | tangent screen | DoG | Gaussian | fit center | response map | reverse corr | RevCorr | MxX | MxY | xoff | yoff | x0 | y0 | position | center | centre | peak | smoothing | regulariz | deconvol | fft | least | eccentricity,0,Complete text scanned.
